textid,Words (split by space),anger,disgust,fear,joy,sad,surprise
1,who is prince frederic von anhalt,0.12202769416549362,0.1771504933314734,0.04368226032818899,0.16568510728254493,0.3086643047189176,0.1827722770694522
2,prestige has magic touch,0.0,0.0,0.02089139208733897,0.41460827214851315,0.1700546729351364,0.39448729457712184
3,study female seals picky about mates,0.02348944166175253,0.03045807662464937,0.05687736412322898,0.4235891823082098,0.09238294536614061,0.37320298991601863
4,no e book for harry potter vii,0.09390174564530253,0.08948508151664483,0.03752569648709941,0.2974184136701501,0.20607896810248386,0.275627464882491
5,blair apologises over friendly fire inquest,0.09924542202395976,0.04127648830264448,0.2686148315540344,0.0,0.4829321395515668,0.1079122556283728
6,vegetables may boost brain power in older adults,4.909956726842363e-07,0.0,0.09260154537371766,0.4443947939275899,3.617161618004546e-06,0.4629995511480733
7,afghan forces retake town that was overrun by taliban,0.10020378718741181,0.008749596151824728,0.4077179889394614,0.008749596151824728,0.4394656419407307,0.03511338962874677
8,skip the showers male sweat turns women on study says,0.0,0.11387731419116114,0.0,0.13747788284565654,0.0,0.7486674627887235
9,made in china irks some burberry shoppers,0.10560881115119307,0.12775862079544006,0.18863514548556276,0.2227743223279333,0.10017950603591065,0.2550248423131962
10,britain to restrict immigrants from new eu members,0.13815103881572782,0.03694750571855339,0.30903551966827253,0.15503750809818778,0.2155016115798735,0.14528495726447044
11,canadian breakthrough offers hope on autism,0.05758843116082512,0.0,0.1168865762701021,0.31849076709276397,0.1104617266987639,0.39655384282601536
12,russia to strengthen its military muscle,0.12135029724986343,0.07094817734037123,0.3171112100010139,0.15046879924544368,0.18875848631158812,0.1513630298517196
13,alzheimer s drugs offer no help study finds,0.1325190942279588,0.06590008452872423,0.203896629286945,0.21883591477464592,0.22212467457933938,0.15672723317160234
14,uk police slammed over terror raid,0.16704298244219531,0.13598272476622705,0.4160670595026847,0.019063379308583074,0.2134830731256899,0.04831983081889832
15,no rejects police state claim,0.1882436183790894,0.1326633713527714,0.38569073770768264,0.016587568633846184,0.1558110179974793,0.12096798137210499
16,oprah announces new book club pick,0.06281580462707352,0.11465917765495216,0.07121474373778496,0.39725497583562047,0.16588713780013875,0.1881676094053334
17,smith can t be buried until hearing,0.127837288919874,0.01721989633875681,0.18183999022491476,0.05426339454997631,0.19650726964687176,0.42233216031960635
18,african nation hopes whoopi can help,0.0312872068823967,0.008543761484722474,0.137951472315319,0.40866840491907275,0.1482090929187932,0.2653612957181278
19,tourism lags in bush s hometown,0.10104307605564107,0.06735726652326915,0.1430425930742164,0.3903675595374181,0.12592055906976043,0.1722871749053331
20,air france klm profit rises,0.1804513359831171,0.043899241292056856,0.25631562725592644,0.2646205944744112,0.14185885382768795,0.11283865236657074
21,au regrets sudan s expulsion of un envoy,0.07196402356233844,0.034303175950346446,0.06180463220822979,0.34393097446889864,0.08209967103402498,0.4058991182059519
22,taiwan s mr clean indicted steps down,0.13990281780388672,0.024054974494981108,0.21752484902398764,0.1253164038133902,0.3095055652535631,0.18373066515474884
